time,activity,lifecycle,payload
2022/08/01 12:12:47.724964147,WEED_POSITION,START,"{ weed: {x: 8.931670997883762, y: 5.29589451441863} }"
2022/08/01 12:12:47.725012062,WEED_POSITION,STOP,"{ weed: {x: 8.931670997883762, y: 5.29589451441863} }"
2022/08/01 12:12:48.75757897,TRACTOR_POSITION,START,"{ header: tractor_2, weed: {x: 2.1921480663168054, y: 4.590332838999} }"
2022/08/01 12:12:48.75865397,TRACTOR_POSITION,STOP,"{ header: tractor_2, weed: {x: 2.1921480663168054, y: 4.590332838999} }"
2022/08/01 12:12:57.226307651,CLOSEST_TRACTOR,START,{ name: tractor_2 }
2022/08/01 12:12:57.226551834,CLOSEST_TRACTOR,STOP,{ name: tractor_2 }
2022/08/01 12:12:57.234444919,EXPLORE,START,
2022/08/01 12:12:57.350346756,EXPLORE,STOP,
2022/08/01 12:12:57.726429662,WEED_FOUND,START,
2022/08/01 12:12:57.726485825,WEED_FOUND,STOP,
2022/08/01 12:12:57.726508133,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:12:57.726530425,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:07.723704072,WEED_FOUND,START,
2022/08/01 12:13:07.724154563,WEED_FOUND,STOP,
2022/08/01 12:13:07.724179450,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:07.724221144,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:07.765917616,TRACTOR_POSITION,START,"{ header: tractor_3, weed: {x: 8.19489327991692, y: 5.1654864083615095} }"
2022/08/01 12:13:07.766008001,TRACTOR_POSITION,STOP,"{ header: tractor_3, weed: {x: 8.19489327991692, y: 5.1654864083615095} }"
2022/08/01 12:13:08.225745663,WEED_FOUND,START,
2022/08/01 12:13:08.225820127,WEED_FOUND,STOP,
2022/08/01 12:13:08.225898080,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:08.225964847,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:08.728695029,WEED_FOUND,START,
2022/08/01 12:13:08.730087089,WEED_FOUND,STOP,
2022/08/01 12:13:08.730602891,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:08.731023278,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:09.224294326,WEED_FOUND,START,
2022/08/01 12:13:09.224321909,WEED_FOUND,STOP,
2022/08/01 12:13:09.224345737,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:09.224397562,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:09.727603430,WEED_FOUND,START,
2022/08/01 12:13:09.728024223,WEED_FOUND,STOP,
2022/08/01 12:13:09.728535624,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:09.728878705,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:10.223587525,WEED_FOUND,START,
2022/08/01 12:13:10.223620546,WEED_FOUND,STOP,
2022/08/01 12:13:10.224863832,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:10.224907290,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:10.724680729,WEED_FOUND,START,
2022/08/01 12:13:10.724718734,WEED_FOUND,STOP,
