time,x,y,z,activity
2022-08-01 12:11:08.537362557,1.337116308565989e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:08.649506511,1.3936922375742627e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:08.753530296,1.3371163011235491e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:08.869217306,1.3936922226505127e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:08.976529063,1.3371163030210406e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:09.183907358,1.3371162969197171e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:09.287002820,1.3936922110505204e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:09.390429085,1.3371163055495231e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:09.493393541,1.3936922016993901e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:09.605133722,1.3371163092811382e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:09.710320568,1.3936922390033768e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:09.790849860,1.3936922607290015e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:09.812642878,1.33711626930747e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:09.919013140,1.393692221746626e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:10.129520177,1.3936922165453211e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:10.234057868,1.337116323671278e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:10.279713520,1.3371163154489472e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:10.337661289,1.3936922409521836e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:10.439467503,1.3371163036985495e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:10.547214831,1.3936922985681331e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:10.658002058,1.3371162901708475e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:10.764384836,1.3936922064702616e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:10.866536992,1.3371163241806986e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:10.970801193,1.3936922212227688e-14,5.000000000000022,0.0249999999995101,IDLE
2022-08-01 12:11:11.175283830,1.393692249307678e-14,5.000000000000022,0.0249999999995101,IDLE
